id,observed_on,latitude,longitude,common_name
5192933,2017-02-26,18.2213816667,-94.6125033333,Five-slotted Sand Dollar
5197351,2017-02-26,18.2231983333,-94.6135083333,Five-slotted Sand Dollar
5202564,2017-02-26,18.22274,-94.61324,Five-slotted Sand Dollar
5202605,2017-02-26,18.2219366667,-94.6128033333,Five-slotted Sand Dollar
5202941,2017-02-26,18.2218066667,-94.612745,Five-slotted Sand Dollar
5202959,2017-02-26,18.2223583333,-94.6129833333,Five-slotted Sand Dollar
5202989,2017-02-26,18.2222166667,-94.61292,Five-slotted Sand Dollar
5203154,2017-02-26,18.24004,-94.6199683333,Five-slotted Sand Dollar
5204181,2017-02-14,19.2230937696,-96.07178092,Purple-brown Urchin
5205518,2017-02-26,18.2221916667,-94.6128966667,Five-slotted Sand Dollar
5205540,2017-02-26,18.2228416667,-94.6132716667,Five-slotted Sand Dollar
5205621,2017-02-26,18.225825,-94.6150483333,Five-slotted Sand Dollar
5210103,2017-02-26,18.2397216667,-94.619805,Five-slotted Sand Dollar
5210144,2017-02-26,18.2457583333,-94.6220833333,Five-slotted Sand Dollar
5210195,2017-02-26,18.2457366667,-94.6220783333,Five-slotted Sand Dollar
5210287,2017-02-26,18.2429483333,-94.6212316667,Five-slotted Sand Dollar
5210378,2017-02-26,18.247875,-94.622615,Five-slotted Sand Dollar
5215748,2017-02-26,18.2221583333,-94.6128916667,Five-slotted Sand Dollar
5215749,2017-02-26,18.2441916667,-94.62162,Five-slotted Sand Dollar
5215750,2017-02-26,18.229255,-94.6167666667,Five-slotted Sand Dollar
5215751,2017-02-26,18.2463133333,-94.6221816667,Five-slotted Sand Dollar
5218255,2017-02-26,18.2308733333,-94.6173633333,Five-slotted Sand Dollar
5218350,2017-02-26,18.236395,-94.6189666667,Five-slotted Sand Dollar
5258592,2017-03-09,32.7835350037,-79.7881698608,Isometric Sand Dollar
5259775,2013-05-30,19.1755780556,-96.0933363889,Variegated Sea Urchin
5259780,2013-05-30,19.1755230556,-96.0932847222,Atlantic Long-spined Sea Urchin
5294444,2017-03-08,30.8631840565,-81.421995163,Five-slotted Sand Dollar
5300050,2016-10-10,33.6890603,-78.8866943,"Sea Urchins, Sand Dollars, and Heart Urchins"
5373660,2017-03-03,21.2028176163,-86.7240571976,Six-keyhole Sand Dollar
5375214,2017-03-05,21.1999368514,-86.7308807373,Red Heart Urchin
5375287,2017-03-05,21.2039378986,-86.7337989807,West Indian Sea Egg
5382347,2017-03-12,18.5077883333,-87.7563166667,
5430299,2017-03-22,20.279218802,-87.3791458665,Atlantic Rock-boring Urchin
5448251,2017-03-23,18.157855,-94.5284616667,Five-slotted Sand Dollar
5448471,2017-03-23,18.157865,-94.5284866667,Five-slotted Sand Dollar
