id,observed_on,Latitude,Longitude
37095367,2019-12-30,25.85826673,-80.11884795
37096254,2019-12-30,29.1965274811,-80.9918670654
37096262,2019-12-30,29.1967449188,-80.9926071167
37098966,2019-12-30,25.8446271443,-80.119017379
37099230,2019-12-30,34.69469167,-76.70532167
37099287,2019-12-30,26.6224798143,-80.05692757
37099663,2019-12-21,28.0836269221,-80.6081090122
37103922,2019-12-30,26.98104167,-80.083625
37129626,2019-12-27,28.65512167,-80.63152167
37136880,2019-12-31,33.914642334,-78.1655502319
37136900,2019-12-31,33.9137916565,-78.1562576294
37136904,2019-12-31,33.9141845703,-78.1574478149
37148856,2019-12-27,30.74817167,-81.45838
37165891,2020-01-01,34.67876167,-76.93437167
37169030,2020-01-01,35.2982502472,-75.5364009207
37196498,2020-01-02,26.11386667,-80.10402783
37196889,2020-01-02,26.7755951872,-80.0314743911
37199950,2020-01-02,25.74490392,-80.14336641
37204322,2019-12-31,34.6780666667,-76.941345
37224118,2019-12-26,27.47582,-80.29103
37230820,2019-12-27,28.6771949976,-80.64671113
37230828,2019-12-27,28.6771949976,-80.64671113
37230832,2019-12-27,28.6771949976,-80.64671113
37291225,2020-01-04,26.1672763824,-80.097694397
37307783,2019-12-30,32.31910333,-80.46076167
37322427,2020-01-04,26.35245833,-80.06909167
37388493,2019-12-22,28.6552184744,-80.6315799114
37405566,2020-01-08,25.6745887937,-80.1535613806
37454271,2020-01-10,26.927816039,-80.067704497
37454335,2020-01-10,26.9268394215,-80.0675926824
37454349,2020-01-10,26.9269332569,-80.0676128828
37454368,2020-01-10,26.9269139366,-80.0676247851
37454370,2020-01-10,26.9266693108,-80.0676423871
37454379,2020-01-10,26.9262849586,-80.0675403793
37454396,2020-01-10,26.9263336156,-80.0675051753
37454403,2020-01-10,26.9263401954,-80.0674760901
37454412,2020-01-10,26.926325988,-80.067468714
37454417,2020-01-10,26.9262515148,-80.0674920157
37454448,2020-01-10,26.9262369722,-80.0674623438
37454454,2020-01-10,26.9260358066,-80.067360336
37454458,2020-01-10,26.9259801926,-80.0672380441
37454464,2020-01-10,26.9259943161,-80.067426134
37454466,2020-01-10,26.925986521,-80.0674195961
37454475,2020-01-10,26.9259852218,-80.0674335101
37454479,2020-01-10,26.9259537477,-80.0673998148
37454481,2020-01-10,26.9260199648,-80.0674062689
37454486,2020-01-10,26.925943438,-80.0674351026
37454505,2020-01-10,26.9259288535,-80.0674449094
37454509,2020-01-10,26.9260465773,-80.067311721
37454513,2020-01-10,26.925874413,-80.0674289838
37454527,2020-01-10,26.9256471796,-80.0673693885
37454529,2020-01-10,26.9255004963,-80.0674788561
37454545,2020-01-10,26.9254299626,-80.0672896766
37454555,2020-01-10,26.9254139532,-80.067305686
37454573,2020-01-10,26.9253591355,-80.067279283
37454581,2020-01-10,26.9252584689,-80.0672455878
37454587,2020-01-10,26.9252493745,-80.0672361162
37454591,2020-01-10,26.9252309762,-80.0672589988
37454593,2020-01-10,26.9252382266,-80.0672934484
37454601,2020-01-10,26.9252071716,-80.0672797859
37454603,2020-01-10,26.9252041122,-80.0672600047
37454604,2020-01-10,26.925197281,-80.0672648662
37454613,2020-01-10,26.9251873903,-80.0672468451
37454615,2020-01-10,26.9251859654,-80.0672990643
37454620,2020-01-10,26.925120377,-80.0672403072
37454622,2020-01-10,26.9252056629,-80.0672569034
37454633,2020-01-10,26.9251033617,-80.0672428218
37454641,2020-01-10,26.9251210895,-80.0671842322
37454651,2020-01-10,26.9250863046,-80.0672240463
37454654,2020-01-10,26.9251079718,-80.0671222062
37454659,2020-01-10,26.9250532799,-80.0671913569
37454667,2020-01-10,26.9249146432,-80.0671675523
37454676,2020-01-10,26.9248760026,-80.0671450049
37454694,2020-01-10,26.9248305308,-80.067132935
37454706,2020-01-10,26.924839248,-80.067139892
37454723,2020-01-10,26.9247316243,-80.0672201906
37454740,2020-01-10,26.924670646,-80.0671101362
37454762,2020-01-10,26.924612727,-80.0670975634
37454774,2020-01-10,26.9246666646,-80.0670463499
37454794,2020-01-10,26.9246650301,-80.0670476072
37454813,2020-01-10,26.924634981,-80.0671036822
37454822,2020-01-10,26.9245558977,-80.0670394768
37454829,2020-01-10,26.9245505333,-80.0670497865
37454843,2020-01-10,26.9245947479,-80.06708432
37454848,2020-01-10,26.924593742,-80.06689162
37454864,2020-01-10,26.9245035108,-80.067130169
37454868,2020-01-10,26.9244894292,-80.0670453441
37454875,2020-01-10,26.9245292014,-80.0670492836
37454880,2020-01-10,26.9244863279,-80.0670367108
37454899,2020-01-10,26.9243378006,-80.0670169295
37454911,2020-01-10,26.9243068714,-80.0670503733
37454924,2020-01-10,26.9243372558,-80.0670499542
37454931,2020-01-10,26.9242266985,-80.0670044404
37454935,2020-01-10,26.9242115272,-80.0670047757
37454943,2020-01-10,26.9241992478,-80.0670031831
37454945,2020-01-10,26.9242133294,-80.0670605992
37454949,2020-01-10,26.9242319791,-80.0671270677
37455094,2020-01-10,26.9241689891,-80.0670260657
37455105,2020-01-10,26.9241630798,-80.0670119841
37455118,2020-01-10,26.9241577992,-80.0670239703
37455120,2020-01-10,26.9241416641,-80.0669752714
37473201,2020-01-10,25.7799956147,-80.1280935319
37473458,2020-01-10,26.79072833,-80.03170833
37493425,2020-01-10,26.88327,-80.05493883
37499546,2019-12-12,25.7807616667,-80.1281278333
37503904,2020-01-11,26.0713515,-80.110606668
37528420,2020-01-12,25.8448697487,-80.1188765188
37531634,2020-01-12,24.72949167,-81.00167222
37536860,2020-01-12,28.391725,-80.59543667
37563950,2020-01-13,24.8892483395,-80.6763348543
37563993,2020-01-13,24.8892223975,-80.6762874127
37564004,2020-01-13,24.8891742854,-80.6763689686
37570561,2020-01-13,26.19301167,-80.09426117
37587118,2020-01-14,24.7185191978,-81.0207462498
37601125,2020-01-14,29.2880116667,-81.0362916667
37616512,2020-01-15,26.6254773119,-80.0366164687
37617952,2020-01-13,25.7006620835,-80.1546549589
37633601,2020-01-13,26.9419279733,-80.0756256956
37659270,2020-01-16,25.7841025014,-80.1277040039
37664114,2020-01-16,25.5336919304,-80.3223968994
37664194,2020-01-16,25.8726182906,-80.1193946042
37668244,2019-12-14,26.547587394,-80.0422088429
37678453,2020-01-17,26.464155,-80.0567555
